Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score,Bitcoin Core (BTC) Price
06/03/2015,178.4,0.15963,1.0844,18.58,15.2,86.88,3241.188,9645.77,2071.26,-0.546294,62,0,274.46
09/03/2015,179.8,0.15972,1.0852,17.91,15.06,85.55,3302.408,9562.98,2079.43,-0.534064,52,0,275.03
10/03/2015,176.69,0.15974,1.0698,17.67,16.69,91.89,3286.068,9536.53,2044.16,-0.529822,61,0,287
11/03/2015,176.35,0.1597,1.0547,18.2,16.87,97.28,3290.9,9523.18,2040.24,-0.525345,59,0,293.61
12/03/2015,178.97,0.15962,1.0635,18.07,15.42,89.48,3349.323,9596,2065.95,-0.520629,52,0,295.06
13/03/2015,177.56,0.15976,1.0496,18.07,16,93.12,3372.911,9579.35,2053.4,-0.515676,53,0,294.68
16/03/2015,179.78,0.15969,1.0568,18.11,15.61,90.54,3449.305,9512.91,2081.19,-0.499499,54,0.3565,284.71
17/03/2015,178.5,0.16,1.0597,17.93,15.66,88.25,3502.847,9539.44,2074.28,-0.49384,52,0,290.19
18/03/2015,180.73,0.16052,1.0864,18.84,13.97,81.22,3577.302,9653.43,2099.5,-0.488067,59,0,286.25
19/03/2015,179.66,0.16144,1.066,18.71,14.07,81.61,3582.271,9736.73,2089.27,-0.482179,60,0,261.49
20/03/2015,180.96,0.16117,1.0821,19.33,13.02,80.49,3617.318,9749.69,2108.1,-0.476173,50,0,259.09
23/03/2015,180.85,0.1609,1.0946,19.75,13.41,79.98,3687.728,9758.09,2104.42,-0.457834,49,0,266.49
24/03/2015,179.83,0.16111,1.0924,19.64,13.62,80.04,3691.41,9731.66,2091.5,-0.452146,49,0,266.1
25/03/2015,176.92,0.16092,1.097,19.36,15.44,83.52,3660.727,9667.83,2061.05,-0.446735,56,0,250.25
26/03/2015,176.48,0.16105,1.0884,19.07,15.8,87.03,3682.095,9619.12,2056.15,-0.441598,52,0,244.37
27/03/2015,176.81,0.16086,1.0889,18.84,15.07,86.5,3691.096,9503.72,2061.02,-0.436736,44,0,248.83
30/03/2015,179.39,0.1611,1.0833,18.47,14.51,82.16,3786.568,9521.87,2086.24,-0.422544,58,0.1027,244.15
31/03/2015,177.58,0.16129,1.0731,18.24,15.29,84.01,3747.899,9586.44,2067.89,-0.416299,50,0.4404,245.17
01/04/2015,176.74,0.16141,1.0763,19.21,15.11,82.82,3810.294,9507.66,2059.69,-0.409089,51,0,244.51
02/04/2015,177.33,0.16128,1.088,18.99,14.67,80.21,3825.784,9600.32,2066.96,-0.402016,46,0,245.08
03/04/2015,177.33,0.16269,1.0969,18.99,14.67,80.21,3863.929,9600.32,2066.96,-0.395077,46,0,251.02
06/04/2015,178.59,0.16296,1.0922,19.7,14.74,80.3,3863.929,9600.32,2080.62,-0.37489,46,0,258.31
07/04/2015,178.42,0.16139,1.0814,19.19,14.78,79.7,3961.378,9641.9,2076.33,-0.368155,48,0,256.28
08/04/2015,178.75,0.16122,1.0781,19.09,13.98,84.76,3994.811,9571.97,2081.9,-0.361388,51,0,253.11
09/04/2015,179.4,0.16124,1.0659,18.91,13.09,80.71,3957.534,9568.04,2091.18,-0.354586,49,0,246.78
10/04/2015,180.37,0.16106,1.0604,19.45,12.58,78.91,4034.309,9617.7,2102.06,-0.347748,48,0,242.72
13/04/2015,179.64,0.16084,1.0567,19.26,13.94,83.8,4121.714,9666.52,2092.43,-0.327814,48,0,235.41
14/04/2015,180.18,0.16099,1.0655,19.41,13.67,81.91,4135.565,9642.22,2095.84,-0.322448,49,0,226.4
15/04/2015,180.88,0.16118,1.0684,19.98,12.84,79.83,4084.163,9540.06,2106.63,-0.317854,45,1.1042,219.46
16/04/2015,180.91,0.16131,1.0761,19.74,12.6,79.78,4194.822,9656.87,2104.99,-0.314033,43,0,222.24
17/04/2015,177.94,0.16138,1.0806,19.72,13.89,85.97,4287.295,9570.93,2081.18,-0.310981,44,0,227.24
20/04/2015,180.03,0.16131,1.0738,19.83,13.3,81.48,4217.078,9552.85,2100.4,-0.307469,44,0,223
21/04/2015,179.26,0.16126,1.0736,19.97,13.25,81.29,4293.623,9533.98,2097.29,-0.309547,49,2.0907,224.05
22/04/2015,180.06,0.16143,1.0725,19.310125,12.71,79.7,4398.495,9613,2107.96,-0.313421,51,0,232.67
23/04/2015,180.37,0.16134,1.0824,19.78,12.48,78.17,4414.507,9797.49,2112.93,-0.319093,45,0,234.37
24/04/2015,180.54,0.16146,1.0873,19.36,12.29,76.43,4393.686,9913.28,2117.69,-0.326563,44,0,234.91
27/04/2015,180.17,0.16085,1.0891,19.76,13.12,81.22,4527.396,9973.12,2108.92,-0.358771,45,0,219.87
28/04/2015,180.84,0.1612,1.0981,20.53,12.41,77.68,4476.214,9956.83,2114.76,-0.371416,45,0,229.53
29/04/2015,180.07,0.16138,1.1128,20.72,13.39,82.27,4476.62,9853.83,2106.85,-0.384851,44,0,225.67
30/04/2015,178.18,0.16127,1.1224,20.11,14.55,87.08,4441.655,9820.05,2085.51,-0.39908,48,0,225.09
01/05/2015,179.9,0.16094,1.1199,20.27,12.7,79.64,4441.655,9820.05,2108.29,-0.414108,45,0,234.31
04/05/2015,180.44,0.16105,1.1146,20.41,12.85,78.56,4480.464,9845.04,2114.49,-0.456585,40,0,239.45
05/05/2015,179.01,0.16109,1.1185,20.22,14.31,84.45,4298.706,9820.13,2089.46,-0.469553,42,19.9801,239.53
06/05/2015,178.39,0.16126,1.1347,19.71,15.15,90.8,4229.266,9818.2,2080.15,-0.481891,47,0,235.78
07/05/2015,179.28,0.16114,1.1267,19.83,15.13,89.21,4112.214,9704.11,2088,-0.493601,43,0.8555,230.83
08/05/2015,181.85,0.16113,1.1199,19.97,12.86,79.44,4205.917,9692,2116.1,-0.504688,44,0,235.68
11/05/2015,181.08,0.16107,1.1155,20.02,13.85,83.11,4333.584,9663.72,2105.33,-0.5342,43,0,241.12
12/05/2015,180.72,0.16106,1.1213,20.29,13.86,84.64,4401.22,9680.73,2099.12,-0.542742,43,0,241.96
13/05/2015,180.75,0.16124,1.1354,20.78,13.76,84.45,4375.76,9724.11,2098.48,-0.550635,46,0,241.32
14/05/2015,182.54,0.16125,1.141,20.82,12.74,82.34,4378.312,9610.83,2121.1,-0.55788,59,0,237.68
