#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,Lumber prices,WTI Oil
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)"
12/02/2015,179.840125,0.1601,1.1403,#N/A,#N/A,#N/A,#N/A,310.9,51.21
13/02/2015,180.34,0.16014,1.1394,#N/A,#N/A,#N/A,#N/A,312.2,52.78
16/02/2015,180.34,0.16002,1.1355,#N/A,#N/A,#N/A,#N/A,312.2,52.78
17/02/2015,180.57,0.15975,1.1411,#N/A,#N/A,#N/A,#N/A,306.3,53.682
18/02/2015,180.47,0.15984,1.1397,#N/A,#N/A,#N/A,#N/A,298.4,52.412
19/02/2015,180.09,0.15988,1.1368,#N/A,#N/A,#N/A,#N/A,296.4,51.562
20/02/2015,181.14,0.15988,1.1381,#N/A,#N/A,#N/A,#N/A,296,50.716
23/02/2015,180.92,0.15982,1.1335,#N/A,#N/A,#N/A,#N/A,297.8,49.45
24/02/2015,181.91,0.15987,1.134,#N/A,#N/A,#N/A,#N/A,290.2,49.28
25/02/2015,181.96,0.15975,1.1361,#N/A,#N/A,#N/A,#N/A,284.3,50.99
26/02/2015,182.01,0.15979,1.1198,#N/A,#N/A,#N/A,#N/A,290,48.17
27/02/2015,181.19,0.15958,1.1196,#N/A,#N/A,#N/A,#N/A,294.8,49.76
