,Annual.Hash.Growth,Block.Height,Block.Interval,Block.Size,Daily.Transactions,Difficulty,Fee.Percentage,Fee.Rate,Two.Week.Hash.Growth,Hash.Rate,Inflation.Rate,Price.Volatility,Bitcoin.Core..BTC..Price,Quarterly.Hash.Growth,Total.Transactions,Transaction.Size,Avg..UTXO.Amount,Velocity...Daily,Velocity...Quarterly,Velocity.of.Money,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,GDX.US.Equity,SHCOMP.Index,TWSE.Index,ADS_Index,Google.trends,Lumber.prices,WTI.Oil,Sentiment.Score,label,std_BTC_returns
15/01/2015,-0.01122797,0.000427929,-0.139500734,-0.064338051,0.089166082,0,-0.250401386,-0.038461538,-0.245027374,0.016551605,-0.001043165,0.469942655,-0.205738368,0.129511967,0.001890616,0.030769231,0.000237304,0.378407058,0.015919997,0.006129225,-0.005745145,0.001548755,-0.013232675,0.05760709,0.035382538,-0.001649196,0.021649331,-0.16,-0.001587302,-0.043931159,0.0001,10.53703505,8.309523242
16/01/2015,-0.002357966,0.000445446,-0.032423208,-0.021990989,0.118296029,0,0.052691564,0.08,-0.123320244,0.015791939,-0.00096004,0.075646806,0.105370351,0.202381816,0.002110279,-0.129850746,-0.001304864,0.040553601,0.018590251,0.006859729,0.009303132,-0.003278283,-0.005673515,0.031657356,0.012000761,-0.002924139,0.021030968,-0.166666667,-0.008267091,0.054088971,0.0001,1.299456943,11.82720044
17/01/2015,0.006986954,0.000409864,0.084656085,-0.05564855,-0.124620238,0,0.106489973,-0.037037037,0.170634268,0.00986578,-0.000531058,0.003123855,0.012994569,-0.057568128,0.001843405,-0.022298456,-0.001900463,-0.23083071,0.01501057,0.004777681,0,0,0,0,0,0,0,-0.185714286,0,0,0.0001,-3.666475206,12.19267849
18/01/2015,-0.00439574,0.000406748,0.017886179,-0.032185818,-0.155671666,0,0.625362064,-0.038461538,0.257841512,0.002171404,-0.000978342,0.001631974,-0.036664752,0.10661555,0.001553575,0.140350877,-0.005831251,-0.444955558,0.006703123,0.002161347,0,0,0,0,0,0,0,-0.052631579,0,0,0.0001,3.681804631,12.01755318
19/01/2015,0.006023006,0.000450777,-0.111821086,-0.158021065,-0.052352237,0,0.167760849,0.12,-0.053191956,0.009886468,-0.000616283,0.010329154,0.036818046,0.162553364,0.001469958,-0.044615385,-0.002872875,-0.093830796,0.0014306,0.002036313,0,-0.002420256,0.003371661,0,-0.077045872,0.003914299,0.064766037,-0.074074074,0,0,0.0001,2.410504625,11.70239796
20/01/2015,-0.020319646,0.000424069,0.068345324,0.258201953,0.181534355,0,0.005197652,-0.107142857,-0.097815994,0.00201005,-0.001275564,-0.004814667,0.024105046,-0.094966718,0.001734257,0.141706924,-0.000240096,0.033540296,0.004581649,0.001356451,0.001316769,0.000622084,-0.00482509,0.035198556,0.018195004,0.008461902,0.026015536,0.06,-0.028855402,-0.05106835,0.0001,-1.417875526,5.119671999
21/01/2015,-0.012904173,0.000347354,0.222222222,0.138842576,0.011578183,0,-0.277962644,0.08,0.26041144,-0.009027081,-0.001158778,-1.14E-06,-0.014178755,-0.09306149,0.001751299,-0.160789845,-0.000840538,0.40078604,0.006002336,0.002159385,0.002572899,0.001429904,0.005194805,-0.017436792,0.04744927,0.00735217,0.028747217,0.132075472,0.019148234,0.028544366,0.0001,5.838515213,2.976717338
22/01/2015,-0.002598631,0.000438456,-0.209366391,-0.273608183,-0.068624128,0,-0.102999981,-0.037037037,-0.259680047,0.004048583,-0.001134718,0.017984275,0.058385152,-0.017668148,0.001628266,-0.038655462,0,-0.023737671,0.003073663,0.002533805,0.014656401,0.00062081,-0.021016365,-0.005323869,0.005936916,0.005343514,0.031252669,-0.15,-0.009394234,-0.030766011,0.0001,4.471453559,3.857883121
23/01/2015,-0.010219141,0.000397085,0.092334495,0.213236323,0.023614546,0,0.224708813,-0.038461538,0.000702795,-0.016129032,-0.001076664,0.011824624,0.044714536,-0.220837767,0.001664008,0.129370629,0.000961423,-0.125867365,0.004209799,0.002388095,-0.00848696,-0.004405013,-0.014253035,-0.030330062,0.002518736,0.010825539,0.033523492,0.019607843,0.018639634,-0.015547398,0.0001,-0.691165107,2.763705938
24/01/2015,-0.079582708,0.000364585,0.110047847,-0.025043125,-0.014860442,0,0.193179601,0.12,-0.180656465,-0.015368852,-0.001510651,-0.001141993,-0.006911651,-0.083976013,0.001636557,-0.108359133,-0.000840437,-0.148477635,0.002268152,0.001702428,0,0,0,0,0,0,0,0,0,0,0.0001,5.126875027,3.156749457
25/01/2015,-0.035389069,0.00037033,-0.017241379,-0.090680063,-0.142703977,0,-0.296037345,-0.142857143,-0.043876399,-0.012486993,-0.001002958,0.016687743,0.05126875,-0.067972632,0.001400721,0.071180556,-0.000240327,0.134899859,0.003044494,0.001253592,0,0,0,0,0,0,0,0.076923077,0,0,0.0001,3.61034582,3.439804396
26/01/2015,-0.044514776,0.000367255,-0.00877193,0.255922347,0.064327196,0,0.496450022,-0.041666667,0.422959617,-0.029504742,-0.000774244,0.005066069,0.036103458,-0.464661701,0.00148874,0.257698541,-0.007692308,-0.206134982,-0.001814954,0.001553894,0.000510175,-0.003302798,0.00303463,0.018859246,0.009373572,0.000710595,0.110408267,0.392857143,0.01540931,-0.009651239,0.0001,10.30281383,2.573450181
27/01/2015,-0.033593076,0.000372994,0.007374631,0.092292062,0.256741978,0,-0.469289661,0.086956522,0.347651792,-0.018458198,-0.001166523,0.046875239,0.103028138,-0.127528898,0.001868181,-0.148195876,0.000726744,1.278708997,0.013629517,0.005973704,-0.016487252,0.001938227,0.012724684,0.032957111,-0.00893301,0.00463405,0.030305779,-0.192307692,-0.014543155,0.023920266,0.0001,-5.433022704,3.93019064
