Date,Trend
21-12-2015,42
22-12-2015,39
23-12-2015,44
24-12-2015,40
25-12-2015,39
26-12-2015,40
27-12-2015,39
28-12-2015,40
29-12-2015,40
30-12-2015,41
31-12-2015,37
01-01-2016,26
02-01-2016,29
03-01-2016,31
04-01-2016,30
05-01-2016,34
06-01-2016,31
07-01-2016,38
08-01-2016,37
09-01-2016,31
10-01-2016,29
11-01-2016,34
12-01-2016,28
13-01-2016,33
14-01-2016,32
15-01-2016,43
16-01-2016,45
17-01-2016,39
18-01-2016,38
19-01-2016,37
20-01-2016,39
21-01-2016,37
22-01-2016,35
23-01-2016,35
24-01-2016,29
25-01-2016,32
26-01-2016,33
27-01-2016,31
28-01-2016,33
29-01-2016,32
30-01-2016,29
31-01-2016,28
01-02-2016,31
02-02-2016,29
03-02-2016,30
04-02-2016,29
05-02-2016,29
06-02-2016,28
07-02-2016,29
08-02-2016,28
09-02-2016,30
10-02-2016,33
11-02-2016,35
12-02-2016,31
13-02-2016,29
14-02-2016,29
15-02-2016,35
16-02-2016,34
17-02-2016,34
18-02-2016,38
19-02-2016,37
20-02-2016,34
21-02-2016,34
22-02-2016,33
23-02-2016,32
24-02-2016,35
25-02-2016,32
26-02-2016,33
27-02-2016,31
28-02-2016,29
29-02-2016,32
01-03-2016,32
02-03-2016,33
03-03-2016,34
04-03-2016,31
05-03-2016,37
06-03-2016,28
07-03-2016,33
08-03-2016,32
09-03-2016,33
10-03-2016,30
11-03-2016,28
12-03-2016,29
13-03-2016,28
14-03-2016,33
15-03-2016,31
16-03-2016,31
17-03-2016,30
18-03-2016,27
19-03-2016,28
20-03-2016,30
21-03-2016,30
22-03-2016,31
23-03-2016,30
24-03-2016,28
25-03-2016,27
26-03-2016,27
27-03-2016,29
28-03-2016,28
29-03-2016,30
30-03-2016,32
31-03-2016,30
01-04-2016,28
02-04-2016,28
03-04-2016,27
04-04-2016,29
05-04-2016,31
06-04-2016,30
07-04-2016,30
08-04-2016,29
09-04-2016,26
10-04-2016,29
11-04-2016,29
12-04-2016,31
13-04-2016,32
14-04-2016,27
15-04-2016,25
16-04-2016,26
17-04-2016,27
18-04-2016,27
19-04-2016,30
20-04-2016,29
21-04-2016,32
22-04-2016,34
23-04-2016,29
24-04-2016,31
25-04-2016,32
26-04-2016,33
27-04-2016,34
28-04-2016,38
29-04-2016,33
30-04-2016,31
01-05-2016,27
02-05-2016,100
03-05-2016,63
04-05-2016,43
05-05-2016,43
06-05-2016,39
07-05-2016,37
08-05-2016,36
09-05-2016,37
10-05-2016,36
11-05-2016,36
12-05-2016,33
13-05-2016,33
14-05-2016,28
15-05-2016,27
16-05-2016,27
17-05-2016,34
18-05-2016,32
19-05-2016,33
20-05-2016,33
21-05-2016,29
22-05-2016,28
23-05-2016,31
24-05-2016,30
25-05-2016,32
26-05-2016,27
27-05-2016,37
28-05-2016,42
29-05-2016,44
30-05-2016,46
31-05-2016,42
01-06-2016,41
02-06-2016,38
03-06-2016,41
04-06-2016,42
05-06-2016,41
06-06-2016,42
07-06-2016,41
08-06-2016,38
09-06-2016,38
10-06-2016,36
11-06-2016,38
12-06-2016,54
13-06-2016,65
14-06-2016,56
15-06-2016,50
16-06-2016,65
17-06-2016,65
18-06-2016,54
19-06-2016,46
20-06-2016,50
21-06-2016,59
22-06-2016,50
23-06-2016,55
24-06-2016,73
25-06-2016,54
26-06-2016,45
27-06-2016,47
28-06-2016,47
29-06-2016,41
30-06-2016,43
01-07-2016,57
02-07-2016,51
03-07-2016,54
04-07-2016,53
05-07-2016,50
06-07-2016,53
07-07-2016,56
08-07-2016,53
09-07-2016,74
10-07-2016,57
11-07-2016,52
12-07-2016,51
13-07-2016,46
14-07-2016,46
15-07-2016,46
16-07-2016,43
17-07-2016,43
18-07-2016,45
19-07-2016,44
20-07-2016,43
21-07-2016,46
22-07-2016,39
23-07-2016,39
24-07-2016,42
25-07-2016,39
26-07-2016,45
27-07-2016,47
28-07-2016,43
29-07-2016,38
30-07-2016,41
31-07-2016,44
01-08-2016,46
02-08-2016,58
03-08-2016,100
04-08-2016,65
05-08-2016,48
06-08-2016,46
07-08-2016,50
08-08-2016,49
09-08-2016,48
10-08-2016,43
11-08-2016,38
12-08-2016,39
13-08-2016,40
14-08-2016,39
15-08-2016,40
16-08-2016,41
17-08-2016,40
18-08-2016,39
19-08-2016,41
20-08-2016,37
21-08-2016,39
22-08-2016,39
23-08-2016,41
24-08-2016,43
25-08-2016,44
26-08-2016,43
27-08-2016,38
