Date,DIA.US.Index,CNYUSD.Curncy,EURUSD.Curncy,ETHE.US.Equity,LTCN.US.Equity,CCRIXRP.Index,GDX.US.Equity,VIX.Index,VVIX.Index,SHCOMP.Index,TWSE.Index,SPX.Index,ADS_Index,Google trends,Sentiment Score
01/01/2015,177.88,0.16109,1.2104,NA,NA,NA,18.38,19.2,113.08,3234.678,9307.26,2058.9,-0.213298,50,0
02/01/2015,177.94,0.16112,1.2002,NA,NA,NA,18.94,17.79,112.55,3234.678,9307.26,2058.2,-0.228104,51,0
05/01/2015,174.84,0.16072,1.1933,NA,NA,NA,19.44,19.92,121.87,3350.519,9274.11,2020.58,-0.267953,67,0
06/01/2015,173.39,0.16088,1.189,NA,NA,NA,20.47,21.12,118.45,3351.446,9048.34,2002.61,-0.279667,74,0.2023
07/01/2015,175.59,0.16099,1.1839,NA,NA,NA,20.09,19.31,107.69,3373.954,9080.09,2025.9,-0.290595,54,0
08/01/2015,178.76,0.16099,1.1793,NA,NA,NA,19.79,17.01,98.44,3293.456,9238.03,2062.14,-0.30074,60,0
09/01/2015,177.22,0.16101,1.1842,NA,NA,NA,20.71,17.55,103.77,3285.412,9215.58,2044.81,-0.310106,56,0
12/01/2015,176.24,0.16118,1.1834,NA,NA,NA,21.49,19.6,109.04,3229.316,9178.3,2028.26,-0.33426,47,0
13/01/2015,175.98,0.16142,1.1773,NA,NA,NA,20.55,20.56,109.22,3235.301,9231.8,2023.03,-0.341946,64,0
14/01/2015,174.06,0.16142,1.1789,NA,NA,NA,20.31,21.48,113.5,3222.437,9180.23,2011.27,-0.349572,100,0.6249
15/01/2015,173.06,0.16167,1.1633,NA,NA,NA,21.48,22.39,117.07,3336.455,9165.09,1992.67,-0.35714,84,0
16/01/2015,174.67,0.16114,1.1567,NA,NA,NA,22.16,20.95,111.32,3376.495,9138.29,2019.42,-0.364651,70,0
19/01/2015,174.67,0.16075,1.1606,NA,NA,NA,22.16,20.95,111.32,3116.35,9174.06,2019.42,-0.388268,50,0
20/01/2015,174.9,0.16085,1.155,NA,NA,NA,22.94,19.89,108.4,3173.052,9251.69,2022.55,-0.398369,53,0
21/01/2015,175.35,0.16108,1.161,NA,NA,NA,22.54,18.85,98.62,3323.611,9319.71,2032.12,-0.409821,60,0
22/01/2015,177.92,0.16118,1.1366,NA,NA,NA,22.42,16.4,93.25,3343.343,9369.51,2063.15,-0.422629,51,0
23/01/2015,176.41,0.16047,1.1204,NA,NA,NA,21.74,16.66,96.33,3351.764,9470.94,2051.82,-0.436797,52,0
26/01/2015,176.5,0.15994,1.1238,NA,NA,NA,22.15,15.52,91.94,3383.182,9477.67,2057.09,-0.485023,78,0
27/01/2015,173.59,0.16025,1.1381,NA,NA,NA,22.88,17.22,96.11,3352.96,9521.59,2029.55,-0.499722,63,0
28/01/2015,171.72,0.1601,1.1287,NA,NA,NA,21.97,20.44,108.68,3305.738,9510.92,2002.16,-0.513329,61,0
29/01/2015,173.9,0.16003,1.132,NA,NA,NA,21.59,18.76,100.7,3262.305,9426.9,2021.25,-0.525847,58,0
30/01/2015,171.45,0.15989,1.1291,NA,NA,NA,22.29,20.97,108.99,3210.363,9361.91,1994.99,-0.537279,51,0
02/02/2015,173.27,0.15978,1.1341,NA,NA,NA,22.45,19.43,106.74,3128.3,9386.99,2020.85,-0.565183,47,0
03/02/2015,176.33,0.15974,1.1481,NA,NA,NA,21.87,17.33,101.03,3204.907,9448.73,2050.03,-0.57247,52,0
04/02/2015,176.53,0.16006,1.1345,NA,NA,NA,22.27,18.33,103.74,3174.126,9513.92,2041.51,-0.578767,48,0
05/02/2015,178.55,0.15996,1.1477,NA,NA,NA,22.58,16.85,98.56,3136.531,9512.05,2062.52,-0.584076,52,0
06/02/2015,178.09,0.16014,1.1316,NA,NA,NA,21.33,17.29,101.69,3075.907,9456.18,2055.47,-0.5884,51,0
