#NAME?,GDX US Equity,VIX Index,VVIX Index,SHCOMP Index,TWSE Index,SPX Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)","px_last(dates=range(2015-01-01,2021-12-31),fill=prev)",,,,,,
25/02/2015,20.79,13.84,86.57,3228.843,9699.54,2113.86,,,,,,
26/02/2015,20.96,13.91,86.93,3298.358,9622.1,2110.74,,,,,,
27/02/2015,21.28,13.34,85.23,3310.303,9622.1,2104.5,,,,,,
02/03/2015,20.76,13.04,81.84,3336.285,9601.36,2117.39,,,,,,
03/03/2015,20.38,13.86,85.05,3263.053,9605.77,2107.78,,,,,,
04/03/2015,20.04,14.23,84.1,3279.533,9621.73,2098.53,,,,,,
05/03/2015,20.08,14.04,81.26,3248.476,9595.09,2101.04,,,,,,
06/03/2015,18.58,15.2,86.88,3241.188,9645.77,2071.26,,,,,,
09/03/2015,17.91,15.06,85.55,3302.408,9562.98,2079.43,,,,,,
10/03/2015,17.67,16.69,91.89,3286.068,9536.53,2044.16,,,,,,
11/03/2015,18.2,16.87,97.28,3290.9,9523.18,2040.24,,,,,,
12/03/2015,18.07,15.42,89.48,3349.323,9596,2065.95,,,,,,
13/03/2015,18.07,16,93.12,3372.911,9579.35,2053.4,,,,,,
16/03/2015,18.11,15.61,90.54,3449.305,9512.91,2081.19,,,,,,
17/03/2015,17.93,15.66,88.25,3502.847,9539.44,2074.28,,,,,,
18/03/2015,18.84,13.97,81.22,3577.302,9653.43,2099.5,,,,,,
19/03/2015,18.71,14.07,81.61,3582.271,9736.73,2089.27,,,,,,
20/03/2015,19.33,13.02,80.49,3617.318,9749.69,2108.1,,,,,,
23/03/2015,19.75,13.41,79.98,3687.728,9758.09,2104.42,,,,,,
24/03/2015,19.64,13.62,80.04,3691.41,9731.66,2091.5,,,,,,
25/03/2015,19.36,15.44,83.52,3660.727,9667.83,2061.05,,,,,,
26/03/2015,19.07,15.8,87.03,3682.095,9619.12,2056.15,,,,,,
27/03/2015,18.84,15.07,86.5,3691.096,9503.72,2061.02,,,,,,
30/03/2015,18.47,14.51,82.16,3786.568,9521.87,2086.24,,,,,,
31/03/2015,18.24,15.29,84.01,3747.899,9586.44,2067.89,,,,,,
01/04/2015,19.21,15.11,82.82,3810.294,9507.66,2059.69,,,,,,
02/04/2015,18.99,14.67,80.21,3825.784,9600.32,2066.96,,,,,,
03/04/2015,18.99,14.67,80.21,3863.929,9600.32,2066.96,,,,,,
06/04/2015,19.7,14.74,80.3,3863.929,9600.32,2080.62,,,,,,
07/04/2015,19.19,14.78,79.7,3961.378,9641.9,2076.33,,,,,,
08/04/2015,19.09,13.98,84.76,3994.811,9571.97,2081.9,,,,,,
09/04/2015,18.91,13.09,80.71,3957.534,9568.04,2091.18,,,,,,
10/04/2015,19.45,12.58,78.91,4034.309,9617.7,2102.06,,,,,,
13/04/2015,19.26,13.94,83.8,4121.714,9666.52,2092.43,,,,,,
14/04/2015,19.41,13.67,81.91,4135.565,9642.22,2095.84,,,,,,
15/04/2015,19.98,12.84,79.83,4084.163,9540.06,2106.63,,,,,,
16/04/2015,19.74,12.6,79.78,4194.822,9656.87,2104.99,,,,,,
17/04/2015,19.72,13.89,85.97,4287.295,9570.93,2081.18,,,,,,
20/04/2015,19.83,13.3,81.48,4217.078,9552.85,2100.4,,,,,,
21/04/2015,19.97,13.25,81.29,4293.623,9533.98,2097.29,,,,,,
22/04/2015,19.310125,12.71,79.7,4398.495,9613,2107.96,,,,,,
23/04/2015,19.78,12.48,78.17,4414.507,9797.49,2112.93,,,,,,
24/04/2015,19.36,12.29,76.43,4393.686,9913.28,2117.69,,,,,,
27/04/2015,19.76,13.12,81.22,4527.396,9973.12,2108.92,,,,,,
28/04/2015,20.53,12.41,77.68,4476.214,9956.83,2114.76,,,,,,
29/04/2015,20.72,13.39,82.27,4476.62,9853.83,2106.85,,,,,,
30/04/2015,20.11,14.55,87.08,4441.655,9820.05,2085.51,,,,,,
01/05/2015,20.27,12.7,79.64,4441.655,9820.05,2108.29,,,,,,
04/05/2015,20.41,12.85,78.56,4480.464,9845.04,2114.49,,,,,,
05/05/2015,20.22,14.31,84.45,4298.706,9820.13,2089.46,,,,,,
06/05/2015,19.71,15.15,90.8,4229.266,9818.2,2080.15,,,,,,
07/05/2015,19.83,15.13,89.21,4112.214,9704.11,2088,,,,,,
08/05/2015,19.97,12.86,79.44,4205.917,9692,2116.1,,,,,,
11/05/2015,20.02,13.85,83.11,4333.584,9663.72,2105.33,,,,,,
12/05/2015,20.29,13.86,84.64,4401.22,9680.73,2099.12,,,,,,
13/05/2015,20.78,13.76,84.45,4375.76,9724.11,2098.48,,,,,,
