Date,Sentiment
15-05-2009,-0.1027
15-05-2009,0
16-05-2009,0.7964
16-05-2009,0.7964
16-05-2009,0.7964
19-05-2009,0.7964
21-05-2009,0.6124
21-05-2009,0.8176
22-05-2009,0.7964
24-05-2009,0.4019
24-05-2009,0.4019
25-05-2009,0
30-05-2009,0.5106
30-05-2009,0.1779
02-06-2009,0
03-06-2009,0
04-06-2009,0
04-06-2009,0
04-06-2009,-0.6124
05-06-2009,0
05-06-2009,0
05-06-2009,0
06-06-2009,0
09-06-2009,0
11-06-2009,0
13-06-2009,0
13-06-2009,0
14-06-2009,0.4404
14-06-2009,0
17-06-2009,0.128
17-06-2009,0
17-06-2009,-0.2732
17-06-2009,0.5106
17-06-2009,0
17-06-2009,-0.1531
17-06-2009,0.25
17-06-2009,-0.743
17-06-2009,0
17-06-2009,0.6705
18-06-2009,0
18-06-2009,0
18-06-2009,0
18-06-2009,0
18-06-2009,0
21-06-2009,0
24-06-2009,0
24-06-2009,0.7003
24-06-2009,0.7003
26-06-2009,0.5719
26-06-2009,0.5267
26-06-2009,0
26-06-2009,0
26-06-2009,0.6249
26-06-2009,0
26-06-2009,0
26-06-2009,0
26-06-2009,0
27-06-2009,-0.7964
29-06-2009,0
08-07-2009,-0.5719
08-07-2009,0
08-07-2009,0
10-07-2009,0
11-07-2009,0.3612
14-07-2009,0.7964
14-07-2009,0.8225
16-07-2009,0
16-07-2009,0
18-07-2009,0
20-07-2009,0
23-07-2009,0.2023
24-07-2009,0.2732
26-07-2009,-0.2732
26-07-2009,0.2023
27-07-2009,0.4588
27-07-2009,-0.6486
27-07-2009,0
27-07-2009,0
27-07-2009,0.3612
01-08-2009,0.5719
03-08-2009,0.8934
04-08-2009,0
05-08-2009,0
07-08-2009,0
11-08-2009,0
11-08-2009,0
11-08-2009,0
11-08-2009,0
11-08-2009,0
11-08-2009,-0.6597
11-08-2009,0
14-08-2009,0
14-08-2009,0.0258
14-08-2009,0
14-08-2009,0
16-08-2009,0
19-08-2009,0.7351
21-08-2009,-0.34
26-08-2009,0
26-08-2009,0
26-08-2009,0
30-08-2009,0.6808
03-09-2009,0.2023
05-09-2009,0.4019
08-09-2009,0
09-09-2009,0
09-09-2009,0
10-09-2009,0
10-09-2009,0
14-09-2009,0.7845
14-09-2009,0
16-09-2009,0
20-09-2009,0
27-09-2009,0
01-10-2009,0
02-10-2009,-0.2732
02-10-2009,0
02-10-2009,0
08-10-2009,0.5859
08-10-2009,0
09-10-2009,0.6705
09-10-2009,0.6705
09-10-2009,0.6705
09-10-2009,0.6705
09-10-2009,0.6705
15-10-2009,0
16-10-2009,0.7964
20-10-2009,0.5994
21-10-2009,0
22-10-2009,0.5267
22-10-2009,0.4588
22-10-2009,0.8834
22-10-2009,0
27-10-2009,0.7717
27-10-2009,0.5423
27-10-2009,0.3612
31-10-2009,0.4019
31-10-2009,0.8126
01-11-2009,0
01-11-2009,0.4939
03-11-2009,0
03-11-2009,0.4404
04-11-2009,0.5859
10-11-2009,0.5945
13-11-2009,0
13-11-2009,0
13-11-2009,0
14-11-2009,0.4588
14-11-2009,0
14-11-2009,0
14-11-2009,0
19-11-2009,0.3818
20-11-2009,0.3612
27-11-2009,0.7717
29-11-2009,0
30-11-2009,0
06-12-2009,-0.1027
07-12-2009,-0.2263
07-12-2009,0.4404
07-12-2009,0.2263
07-12-2009,0.7184
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
08-12-2009,0
10-12-2009,0
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
11-12-2009,0.9118
