,ADS_Index
21/03/1900,-1.70331
21/03/1900,-1.74744
21/03/1900,-1.79052
21/03/1900,-1.83256
21/03/1900,-1.87358
21/03/1900,-1.91359
21/03/1900,-1.95259
21/03/1900,-1.99062
21/03/1900,-2.02766
21/03/1900,-2.06374
21/03/1900,-2.09887
21/03/1900,-2.13306
21/03/1900,-2.16632
21/03/1900,-2.19865
21/03/1900,-2.23007
21/03/1900,-2.2606
21/03/1900,-2.29022
21/03/1900,-2.31897
21/03/1900,-2.34684
21/03/1900,-2.37384
21/03/1900,-2.39998
21/03/1900,-2.42528
21/03/1900,-2.44973
21/03/1900,-2.47335
21/03/1900,-2.49613
21/03/1900,-2.5181
21/03/1900,-2.53926
21/03/1900,-2.5596
21/03/1900,-2.57915
21/03/1900,-2.5979
21/03/1900,-2.61586
21/03/1900,-2.6308
21/03/1900,-2.64274
21/03/1900,-2.65166
21/03/1900,-2.65759
21/03/1900,-2.66051
21/03/1900,-2.66044
21/03/1900,-2.65736
21/03/1900,-2.65128
21/03/1900,-2.64219
21/03/1900,-2.6301
21/03/1900,-2.615
21/03/1900,-2.59688
21/03/1900,-2.57575
21/03/1900,-2.55159
21/03/1900,-2.52439
21/03/1900,-2.49415
21/03/1900,-2.46086
21/03/1900,-2.4245
21/03/1900,-2.38508
21/03/1900,-2.34257
21/03/1900,-2.29696
21/03/1900,-2.24824
21/03/1900,-2.19639
21/03/1900,-2.1414
21/03/1900,-2.08325
21/03/1900,-2.02192
21/03/1900,-1.9574
21/03/1900,-1.88966
21/03/1900,-1.81869
21/03/1900,-1.74446
21/03/1900,-1.66694
21/03/1900,-1.59243
21/03/1900,-1.52089
21/03/1900,-1.4523
21/03/1900,-1.38665
21/03/1900,-1.32391
21/03/1900,-1.26406
21/03/1900,-1.20708
21/03/1900,-1.15297
21/03/1900,-1.10169
21/03/1900,-1.05324
21/03/1900,-1.0076
21/03/1900,-0.964763
21/03/1900,-0.924704
21/03/1900,-0.887417
21/03/1900,-0.852889
21/03/1900,-0.821111
21/03/1900,-0.792073
21/03/1900,-0.765766
21/03/1900,-0.742181
21/03/1900,-0.721312
21/03/1900,-0.703153
21/03/1900,-0.687697
21/03/1900,-0.67494
21/03/1900,-0.664878
21/03/1900,-0.657508
21/03/1900,-0.652828
21/03/1900,-0.650836
21/03/1900,-0.651532
21/03/1900,-0.654917
21/03/1900,-0.66099
21/03/1900,-0.669753
21/03/1900,-0.676638
21/03/1900,-0.681647
21/03/1900,-0.68478
21/03/1900,-0.686039
