#NAME?,DIA US Index,CNYUSD Curncy,EURUSD Curncy,GBTC US Equity,ETHE US Equity,LTCN US Equity,CCRIXRP Index,,,,,,
DATES,"px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)","px_last(dates=range(2015-01-01,2021-12-31),fill=PREV)",,,,,,
26/01/2015,176.5,0.15994,1.1238,#N/A,#N/A,#N/A,#N/A,,,,,,
27/01/2015,173.59,0.16025,1.1381,#N/A,#N/A,#N/A,#N/A,,,,,,
28/01/2015,171.72,0.1601,1.1287,#N/A,#N/A,#N/A,#N/A,,,,,,
29/01/2015,173.9,0.16003,1.132,#N/A,#N/A,#N/A,#N/A,,,,,,
30/01/2015,171.45,0.15989,1.1291,#N/A,#N/A,#N/A,#N/A,,,,,,
02/02/2015,173.27,0.15978,1.1341,#N/A,#N/A,#N/A,#N/A,,,,,,
03/02/2015,176.33,0.15974,1.1481,#N/A,#N/A,#N/A,#N/A,,,,,,
04/02/2015,176.53,0.16006,1.1345,#N/A,#N/A,#N/A,#N/A,,,,,,
05/02/2015,178.55,0.15996,1.1477,#N/A,#N/A,#N/A,#N/A,,,,,,
06/02/2015,178.09,0.16014,1.1316,#N/A,#N/A,#N/A,#N/A,,,,,,
09/02/2015,177.09,0.15999,1.1325,#N/A,#N/A,#N/A,#N/A,,,,,,
10/02/2015,178.51,0.16025,1.1321,#N/A,#N/A,#N/A,#N/A,,,,,,
11/02/2015,178.7,0.16017,1.1336,#N/A,#N/A,#N/A,#N/A,,,,,,
12/02/2015,179.840125,0.1601,1.1403,#N/A,#N/A,#N/A,#N/A,,,,,,
13/02/2015,180.34,0.16014,1.1394,#N/A,#N/A,#N/A,#N/A,,,,,,
16/02/2015,180.34,0.16002,1.1355,#N/A,#N/A,#N/A,#N/A,,,,,,
17/02/2015,180.57,0.15975,1.1411,#N/A,#N/A,#N/A,#N/A,,,,,,
18/02/2015,180.47,0.15984,1.1397,#N/A,#N/A,#N/A,#N/A,,,,,,
19/02/2015,180.09,0.15988,1.1368,#N/A,#N/A,#N/A,#N/A,,,,,,
20/02/2015,181.14,0.15988,1.1381,#N/A,#N/A,#N/A,#N/A,,,,,,
23/02/2015,180.92,0.15982,1.1335,#N/A,#N/A,#N/A,#N/A,,,,,,
24/02/2015,181.91,0.15987,1.134,#N/A,#N/A,#N/A,#N/A,,,,,,
25/02/2015,181.96,0.15975,1.1361,#N/A,#N/A,#N/A,#N/A,,,,,,
26/02/2015,182.01,0.15979,1.1198,#N/A,#N/A,#N/A,#N/A,,,,,,
27/02/2015,181.19,0.15958,1.1196,#N/A,#N/A,#N/A,#N/A,,,,,,
02/03/2015,182.68,0.1594,1.1184,#N/A,#N/A,#N/A,#N/A,,,,,,
03/03/2015,181.87,0.15931,1.1176,#N/A,#N/A,#N/A,#N/A,,,,,,
04/03/2015,180.78,0.15954,1.1078,#N/A,#N/A,#N/A,#N/A,,,,,,
05/03/2015,181.17,0.15968,1.103,#N/A,#N/A,#N/A,#N/A,,,,,,
06/03/2015,178.4,0.15963,1.0844,#N/A,#N/A,#N/A,#N/A,,,,,,
09/03/2015,179.8,0.15972,1.0852,#N/A,#N/A,#N/A,#N/A,,,,,,
10/03/2015,176.69,0.15974,1.0698,#N/A,#N/A,#N/A,#N/A,,,,,,
11/03/2015,176.35,0.1597,1.0547,#N/A,#N/A,#N/A,#N/A,,,,,,
12/03/2015,178.97,0.15962,1.0635,#N/A,#N/A,#N/A,#N/A,,,,,,
13/03/2015,177.56,0.15976,1.0496,#N/A,#N/A,#N/A,#N/A,,,,,,
16/03/2015,179.78,0.15969,1.0568,#N/A,#N/A,#N/A,#N/A,,,,,,
17/03/2015,178.5,0.16,1.0597,#N/A,#N/A,#N/A,#N/A,,,,,,
18/03/2015,180.73,0.16052,1.0864,#N/A,#N/A,#N/A,#N/A,,,,,,
19/03/2015,179.66,0.16144,1.066,#N/A,#N/A,#N/A,#N/A,,,,,,
20/03/2015,180.96,0.16117,1.0821,#N/A,#N/A,#N/A,#N/A,,,,,,
23/03/2015,180.85,0.1609,1.0946,#N/A,#N/A,#N/A,#N/A,,,,,,
24/03/2015,179.83,0.16111,1.0924,#N/A,#N/A,#N/A,#N/A,,,,,,
25/03/2015,176.92,0.16092,1.097,#N/A,#N/A,#N/A,#N/A,,,,,,
26/03/2015,176.48,0.16105,1.0884,#N/A,#N/A,#N/A,#N/A,,,,,,
27/03/2015,176.81,0.16086,1.0889,#N/A,#N/A,#N/A,#N/A,,,,,,
30/03/2015,179.39,0.1611,1.0833,#N/A,#N/A,#N/A,#N/A,,,,,,
31/03/2015,177.58,0.16129,1.0731,#N/A,#N/A,#N/A,#N/A,,,,,,
01/04/2015,176.74,0.16141,1.0763,#N/A,#N/A,#N/A,#N/A,,,,,,
02/04/2015,177.33,0.16128,1.088,#N/A,#N/A,#N/A,#N/A,,,,,,
03/04/2015,177.33,0.16269,1.0969,#N/A,#N/A,#N/A,#N/A,,,,,,
06/04/2015,178.59,0.16296,1.0922,#N/A,#N/A,#N/A,#N/A,,,,,,
07/04/2015,178.42,0.16139,1.0814,#N/A,#N/A,#N/A,#N/A,,,,,,
08/04/2015,178.75,0.16122,1.0781,#N/A,#N/A,#N/A,#N/A,,,,,,
09/04/2015,179.4,0.16124,1.0659,#N/A,#N/A,#N/A,#N/A,,,,,,
10/04/2015,180.37,0.16106,1.0604,#N/A,#N/A,#N/A,#N/A,,,,,,
13/04/2015,179.64,0.16084,1.0567,#N/A,#N/A,#N/A,#N/A,,,,,,
14/04/2015,180.18,0.16099,1.0655,#N/A,#N/A,#N/A,#N/A,,,,,,
15/04/2015,180.88,0.16118,1.0684,#N/A,#N/A,#N/A,#N/A,,,,,,
16/04/2015,180.91,0.16131,1.0761,#N/A,#N/A,#N/A,#N/A,,,,,,
17/04/2015,177.94,0.16138,1.0806,#N/A,#N/A,#N/A,#N/A,,,,,,
20/04/2015,180.03,0.16131,1.0738,#N/A,#N/A,#N/A,#N/A,,,,,,
21/04/2015,179.26,0.16126,1.0736,#N/A,#N/A,#N/A,#N/A,,,,,,
22/04/2015,180.06,0.16143,1.0725,#N/A,#N/A,#N/A,#N/A,,,,,,
23/04/2015,180.37,0.16134,1.0824,#N/A,#N/A,#N/A,#N/A,,,,,,
24/04/2015,180.54,0.16146,1.0873,#N/A,#N/A,#N/A,#N/A,,,,,,
27/04/2015,180.17,0.16085,1.0891,#N/A,#N/A,#N/A,#N/A,,,,,,
28/04/2015,180.84,0.1612,1.0981,#N/A,#N/A,#N/A,#N/A,,,,,,
29/04/2015,180.07,0.16138,1.1128,#N/A,#N/A,#N/A,#N/A,,,,,,
30/04/2015,178.18,0.16127,1.1224,#N/A,#N/A,#N/A,#N/A,,,,,,
01/05/2015,179.9,0.16094,1.1199,#N/A,#N/A,#N/A,#N/A,,,,,,
04/05/2015,180.44,0.16105,1.1146,0.461538462,#N/A,#N/A,#N/A,,,,,,
05/05/2015,179.01,0.16109,1.1185,0.604395604,#N/A,#N/A,#N/A,,,,,,
06/05/2015,178.39,0.16126,1.1347,0.604395604,#N/A,#N/A,#N/A,,,,,,
07/05/2015,179.28,0.16114,1.1267,0.43956044,#N/A,#N/A,#N/A,,,,,,
08/05/2015,181.85,0.16113,1.1199,0.538461538,#N/A,#N/A,#N/A,,,,,,
11/05/2015,181.08,0.16107,1.1155,0.549450549,#N/A,#N/A,#N/A,,,,,,
12/05/2015,180.72,0.16106,1.1213,0.548901099,#N/A,#N/A,#N/A,,,,,,
13/05/2015,180.75,0.16124,1.1354,0.538461538,#N/A,#N/A,#N/A,,,,,,
14/05/2015,182.54,0.16125,1.141,0.494505495,#N/A,#N/A,#N/A,,,,,,
15/05/2015,182.48,0.16115,1.1451,0.417582418,#N/A,#N/A,#N/A,,,,,,
18/05/2015,182.68,0.16117,1.1315,0.298351648,#N/A,#N/A,#N/A,,,,,,
19/05/2015,182.93,0.16113,1.115,0.318681319,#N/A,#N/A,#N/A,,,,,,
20/05/2015,182.71,0.16125,1.1094,0.346153846,#N/A,#N/A,#N/A,,,,,,
21/05/2015,182.79,0.16135,1.1112,0.351648352,#N/A,#N/A,#N/A,,,,,,
22/05/2015,182.26,0.16136,1.1013,0.350549451,#N/A,#N/A,#N/A,,,,,,
25/05/2015,182.26,0.16124,1.0978,0.350549451,#N/A,#N/A,#N/A,,,,,,
26/05/2015,180.37,0.16118,1.0873,0.351648352,#N/A,#N/A,#N/A,,,,,,
27/05/2015,181.52,0.16131,1.0904,0.335714286,#N/A,#N/A,#N/A,,,,,,
28/05/2015,181.29,0.16119,1.0949,0.362637363,#N/A,#N/A,#N/A,,,,,,
29/05/2015,180.11,0.16133,1.0986,0.362637363,#N/A,#N/A,#N/A,,,,,,
01/06/2015,180.4,0.16127,1.0927,0.336813187,#N/A,#N/A,#N/A,,,,,,
02/06/2015,180.15,0.16135,1.1151,0.32032967,#N/A,#N/A,#N/A,,,,,,
03/06/2015,180.88,0.16133,1.1275,0.318681319,#N/A,#N/A,#N/A,,,,,,
04/06/2015,179.21,0.16125,1.1238,0.320879121,#N/A,#N/A,#N/A,,,,,,
05/06/2015,178.5,0.16125,1.1114,0.320879121,#N/A,#N/A,#N/A,,,,,,
08/06/2015,177.81,0.16116,1.1291,0.321428571,#N/A,#N/A,#N/A,,,,,,
09/06/2015,177.71,0.16117,1.1283,0.318681319,#N/A,#N/A,#N/A,,,,,,
10/06/2015,180.06,0.16112,1.1324,0.321428571,#N/A,#N/A,#N/A,,,,,,
11/06/2015,180.64,0.16108,1.1258,0.32032967,#N/A,#N/A,#N/A,,,,,,
12/06/2015,179.13,0.16111,1.1266,0.318021978,#N/A,#N/A,#N/A,,,,,,
15/06/2015,178.1,0.16107,1.1283,0.318681319,#N/A,#N/A,#N/A,,,,,,
16/06/2015,179.21,0.16105,1.1248,0.318681319,#N/A,#N/A,#N/A,,,,,,
17/06/2015,179.48,0.16104,1.1337,0.318681319,#N/A,#N/A,#N/A,,,,,,
18/06/2015,181.33,0.16106,1.1359,0.318681319,#N/A,#N/A,#N/A,,,,,,
19/06/2015,179.76,0.16103,1.1352,0.314505495,#N/A,#N/A,#N/A,,,,,,
22/06/2015,180.92,0.16102,1.1341,0.313736264,#N/A,#N/A,#N/A,,,,,,
23/06/2015,181.12,0.16109,1.1167,0.307692308,#N/A,#N/A,#N/A,,,,,,
24/06/2015,179.41,0.16114,1.1205,0.313186813,#N/A,#N/A,#N/A,,,,,,
25/06/2015,178.65,0.16106,1.1205,0.313186813,#N/A,#N/A,#N/A,,,,,,
26/06/2015,179.13,0.16105,1.1167,0.318681319,#N/A,#N/A,#N/A,,,,,,
29/06/2015,175.64,0.16107,1.1236,0.31967033,#N/A,#N/A,#N/A,,,,,,
30/06/2015,175.82,0.16108,1.1147,0.330989011,#N/A,#N/A,#N/A,,,,,,
01/07/2015,177.4,0.16128,1.1053,0.333516484,#N/A,#N/A,#N/A,,,,,,
02/07/2015,177.05,0.1612,1.1084,0.333516484,#N/A,#N/A,#N/A,,,,,,
03/07/2015,177.05,0.16117,1.1114,0.333516484,#N/A,#N/A,#N/A,,,,,,
